Year,Month,Range,Storage (%)
2024,January,Ampara,91.5
2024,January,Anuradhapura,100
2024,January,Badulla,99.3
2024,January,Batticalo,88.4
2024,January,Hambantota,91.1
2024,January,Galle,100
2024,January,Kandy,100
2024,January,Kurunegala,98.7
2024,January,Monaragala,100
2024,January,Polonnaruwa,90
2024,January,Puttalam,93.7
2024,January,Trincomalee,97.4
2024,January,Mannar,97.3
2024,February,Ampara,98.3
2024,February,Anuradhapura,98.8
2024,February,Badulla,94.4
2024,February,Batticalo,94
2024,February,Hambantota,93.2
2024,February,Galle,100
2024,February,Kandy,95
2024,February,Kurunegala,89.8
2024,February,Monaragala,100
2024,February,Polonnaruwa,93
2024,February,Puttalam,85.7
2024,February,Trincomalee,93.6
2024,February,Mannar,92.6
2024,March,Ampara,93
2024,March,Anuradhapura,92.8
2024,March,Badulla,91.2
2024,March,Batticalo,97.5
2024,March,Hambantota,93.1
2024,March,Galle,99.3
2024,March,Kandy,98.3
2024,March,Kurunegala,79.6
2024,March,Monaragala,92.1
2024,March,Polonnaruwa,91.1
2024,March,Puttalam,62.8
2024,March,Trincomalee,91.5
2024,March,Mannar,59.3
2024,April,Ampara,87.6
2024,April,Anuradhapura,79.9
2024,April,Badulla,91.4
2024,April,Batticalo,92.3
2024,April,Hambantota,84.9
2024,April,Galle,100
2024,April,Kandy,80.4
2024,April,Kurunegala,69
2024,April,Monaragala,84.9
2024,April,Polonnaruwa,96
2024,April,Puttalam,54.3
2024,April,Trincomalee,92.2
2024,April,Mannar,51.6
2024,May,Ampara,74.1
2024,May,Anuradhapura,64.9
2024,May,Badulla,76.6
2024,May,Batticalo,70.6
2024,May,Hambantota,77.9
2024,May,Galle,81.1
2024,May,Kandy,67.6
2024,May,Kurunegala,52.5
2024,May,Monaragala,86.9
2024,May,Polonnaruwa,75.8
2024,May,Puttalam,35.9
2024,May,Trincomalee,74.7
2024,May,Mannar,63.3
2024,June,Ampara,71.5
2024,June,Anuradhapura,70.5
2024,June,Badulla,83.5
2024,June,Batticalo,66.2
2024,June,Hambantota,83.7
2024,June,Galle,98.5
2024,June,Kandy,96.6
2024,June,Kurunegala,95.4
2024,June,Monaragala,86.6
2024,June,Polonnaruwa,74.7
2024,June,Puttalam,81.3
2024,June,Trincomalee,62.1
2024,June,Mannar,66.9
2024,July,Ampara,58
2024,July,Anuradhapura,56.6
2024,July,Badulla,67.7
2024,July,Batticalo,42.9
2024,July,Hambantota,73
2024,July,Galle,100
2024,July,Kandy,83.9
2024,July,Kurunegala,88
2024,July,Monaragala,77.6
2024,July,Polonnaruwa,60.3
2024,July,Puttalam,73.4
2024,July,Trincomalee,44
2024,July,Mannar,51.4
2024,August,Ampara,52.5
2024,August,Anuradhapura,48.9
2024,August,Badulla,52.6
2024,August,Batticalo,38.1
2024,August,Hambantota,64.2
2024,August,Galle,100
2024,August,Kandy,78.7
2024,August,Kurunegala,80.5
2024,August,Monaragala,79.2
2024,August,Polonnaruwa,51.5
2024,August,Puttalam,66.9
2024,August,Trincomalee,29.7
2024,August,Mannar,35
2024,September,Ampara,49.9
2024,September,Anuradhapura,48.4
2024,September,Badulla,54.4
2024,September,Batticalo,31.7
2024,September,Hambantota,69.6
2024,September,Galle,100
2024,September,Kandy,77.7
2024,September,Kurunegala,87
2024,September,Monaragala,76.5
2024,September,Polonnaruwa,54.2
2024,September,Puttalam,73.3
2024,September,Trincomalee,28.2
2024,September,Mannar,28.3
2024,October,Ampara,44.6
2024,October,Anuradhapura,45.2
2024,October,Badulla,38.2
2024,October,Batticalo,21.3
2024,October,Hambantota,100
2024,October,Galle,68.3
2024,October,Kandy,74.7
2024,October,Kurunegala,84
2024,October,Monaragala,72
2024,October,Polonnaruwa,56
2024,October,Puttalam,67.4
2024,October,Trincomalee,25.5
2024,October,Mannar,13.5
2024,November,Ampara,45.7
2024,November,Anuradapura,46.9
2024,November,Badulla,49.8
2024,November,Batticaloa,35.7
2024,November,Hambantota,80.5
2024,November,Galle,100
2024,November,Kandy,76
2024,November,Kurunegala,79.6
2024,November,Monaragala,68.1
2024,November,Polonnaruwa,70.3
2024,November,Puttalam,69.7
2024,November,Trincomalee,40.3
2024,November,Mannar,30.6
2023,January,Ampara,36.9
2023,January,Anuradhapura,72.7
2023,January,Badulla,81
2023,January,Batticalo,82.2
2023,January,Hambantota,72.1
2023,January,Galle,96.6
2023,January,Kandy,95.5
2023,January,Kurunegala,89
2023,January,Monaragala,65.4
2023,January,Polonnaruwa,72.1
2023,January,Puttalam,52.1
2023,January,Trincomalee,67.2
2023,January,Mannar,71.6
2023,February,Ampara,39.9
2023,February,Anuradhapura,82.7
2023,February,Badulla,83.7
2023,February,Batticalo,96
2023,February,Hambantota,67.9
2023,February,Galle,94
2023,February,Kandy,88.9
2023,February,Kurunegala,80
2023,February,Monaragala,58.8
2023,February,Polonnaruwa,79.8
2023,February,Puttalam,50.7
2023,February,Trincomalee,83.4
2023,February,Mannar,86.7
2023,March,Ampara,48.8
2023,March,Anuradhapura,81.2
2023,March,Badulla,86.3
2023,March,Batticalo,99.5
2023,March,Hambantota,60.1
2023,March,Galle,97.6
2023,March,Kandy,96
2023,March,Kurunegala,82.4
2023,March,Monaragala,61.5
2023,March,Polonnaruwa,82.4
2023,March,Puttalam,56.2
2023,March,Trincomalee,81.7
2023,March,Mannar,60.4
2023,April,Ampara,50.7
2023,April,Anuradhapura,82
2023,April,Badulla,85.5
2023,April,Batticalo,93.9
2023,April,Hambantota,70.8
2023,April,Galle,90.9
2023,April,Kandy,86.9
2023,April,Kurunegala,75.4
2023,April,Monaragala,64.1
2023,April,Polonnaruwa,85.7
2023,April,Puttalam,50.7
2023,April,Trincomalee,86.8
2023,April,Mannar,64.7
2023,May,Ampara,46.8
2023,May,Anuradhapura,77.7
2023,May,Badulla,86.3
2023,May,Batticalo,85.5
2023,May,Hambantota,72.4
