date,Month,Districts,10day_avg,30day_avg
01/01/2020,January,Kilinochchi,38.2098,183.9545
01/11/2020,January,Kilinochchi,24.2545,127.3837
1/21/2020,January,Kilinochchi,26.0366,88.5008
02/01/2020,February,Kilinochchi,16.4992,66.7902
02/11/2020,February,Kilinochchi,10.7528,53.2886
2/21/2020,February,Kilinochchi,7.2797,34.5317
03/01/2020,March,Kilinochchi,12.0911,30.1236
03/11/2020,March,Kilinochchi,9.1805,28.5512
3/21/2020,March,Kilinochchi,10.965,32.2366
04/01/2020,April,Kilinochchi,24.5049,44.6504
04/11/2020,April,Kilinochchi,32.3366,67.8065
4/21/2020,April,Kilinochchi,26.5683,83.4098
05/01/2020,May,Kilinochchi,11.1837,70.0886
05/11/2020,May,Kilinochchi,5.8089,43.561
5/21/2020,May,Kilinochchi,2.8407,19.8333
06/01/2020,June,Kilinochchi,0.5837,9.2333
06/11/2020,June,Kilinochchi,0,3.4244
6/21/2020,June,Kilinochchi,0,0.5837
07/01/2020,July,Kilinochchi,0,0
07/11/2020,July,Kilinochchi,0,0
7/21/2020,July,Kilinochchi,0.0626,0.0626
08/01/2020,August,Kilinochchi,0.2821,0.3447
08/11/2020,August,Kilinochchi,0.5902,0.935
8/21/2020,August,Kilinochchi,3.3228,4.1951
09/01/2020,September,Kilinochchi,10.6098,14.5228
09/11/2020,September,Kilinochchi,10.3195,24.252
9/21/2020,September,Kilinochchi,21.6675,42.5967
10/01/2020,Octomber,Kilinochchi,42.461,74.448
10/11/2020,Octomber,Kilinochchi,56.4024,120.5309
10/21/2020,Octomber,Kilinochchi,91.3065,190.1699
11/01/2020,November,Kilinochchi,141.7585,289.4675
11/11/2020,November,Kilinochchi,130.7382,363.8033
11/21/2020,November,Kilinochchi,134.6268,407.1236
12/01/2020,December,Kilinochchi,88.8065,354.1715
12/11/2020,December,Kilinochchi,80.8252,304.2585
12/21/2020,December,Kilinochchi,64.9195,234.5512
01/01/2021,January,Kilinochchi,38.2098,183.9545
01/11/2021,January,Kilinochchi,24.2545,127.3837
1/21/2021,January,Kilinochchi,26.0366,88.5008
02/01/2021,February,Kilinochchi,16.4992,66.7902
02/11/2021,February,Kilinochchi,10.7528,53.2886
2/21/2021,February,Kilinochchi,7.2797,34.5317
03/01/2021,March,Kilinochchi,12.0911,30.1236
03/11/2021,March,Kilinochchi,9.1805,28.5512
3/21/2021,March,Kilinochchi,10.965,32.2366
04/01/2021,April,Kilinochchi,24.5049,44.6504
04/11/2021,April,Kilinochchi,32.3366,67.8065
4/21/2021,April,Kilinochchi,26.5683,83.4098
05/01/2021,May,Kilinochchi,11.1837,70.0886
05/11/2021,May,Kilinochchi,5.8089,43.561
5/21/2021,May,Kilinochchi,2.8407,19.8333
06/01/2021,June,Kilinochchi,0.5837,9.2333
06/11/2021,June,Kilinochchi,0,3.4244
6/21/2021,June,Kilinochchi,0,0.5837
07/01/2021,July,Kilinochchi,0,0
07/11/2021,July,Kilinochchi,0,0
7/21/2021,July,Kilinochchi,0.0626,0.0626
08/01/2021,August,Kilinochchi,0.2821,0.3447
08/11/2021,August,Kilinochchi,0.5902,0.935
8/21/2021,August,Kilinochchi,3.3228,4.1951
09/01/2021,September,Kilinochchi,10.6098,14.5228
09/11/2021,September,Kilinochchi,10.3195,24.252
9/21/2021,September,Kilinochchi,21.6675,42.5967
10/01/2021,Octomber,Kilinochchi,42.461,74.448
10/11/2021,Octomber,Kilinochchi,56.4024,120.5309
10/21/2021,Octomber,Kilinochchi,91.3065,190.1699
11/01/2021,November,Kilinochchi,141.7585,289.4675
11/11/2021,November,Kilinochchi,130.7382,363.8033
11/21/2021,November,Kilinochchi,134.6268,407.1236
12/01/2021,December,Kilinochchi,88.8065,354.1715
12/11/2021,December,Kilinochchi,80.8252,304.2585
12/21/2021,December,Kilinochchi,64.9195,234.5512
01/01/2022,January,Kilinochchi,38.2098,183.9545
01/11/2022,January,Kilinochchi,24.2545,127.3837
1/21/2022,January,Kilinochchi,26.0366,88.5008
02/01/2022,February,Kilinochchi,16.4992,66.7902
